brand,model,accel,topspeed,range,efficiency,fastcharge,rapidcharge,powertrain,plugtype,bodystyle,segment,seats,priceeuro,score,priceusd
Tesla ,Model 3 Long Range Dual Motor,4.6,233.0,450.0,161.0,940 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,55480,3,57148.74330449114
Volkswagen ,ID.3 Pure,10.0,160.0,270.0,167.0,250 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,30000,2,30902.348578491965
Polestar ,2,4.7,210.0,400.0,181.0,620 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,56440,3,58137.618459002886
BMW ,iX3 ,6.8,180.0,360.0,206.0,560 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,68040,1,70086.52657601978
Honda ,e ,9.5,145.0,170.0,168.0,190 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,32997,2,33989.49320148331
Lucid ,Air ,2.8,250.0,610.0,180.0,620 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,105000,4,108158.22002472187
Volkswagen ,e-Golf ,9.6,150.0,190.0,168.0,220 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,31900,2,32859.49732179646
Peugeot ,e-208 ,8.1,150.0,275.0,164.0,420 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29682,1,30574.783683559952
Tesla ,Model 3 Standard Range Plus,5.6,225.0,310.0,153.0,650 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,46380,2,47775.030902348575
Audi ,Q4 e-tron ,6.3,180.0,400.0,193.0,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,55000,2,56654.30572723527
Mercedes ,EQC 400 4MATIC,5.1,180.0,370.0,216.0,440 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,69484,1,71573.95962093119
Nissan ,Leaf ,7.9,144.0,220.0,164.0,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,29234,1,30113.30861145447
Hyundai ,Kona Electric 64 kWh,7.9,167.0,400.0,160.0,380 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,40795,2,42022.04367531932
BMW ,i4 ,4.0,200.0,450.0,178.0,650 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,65000,4,66955.08858673259
Hyundai ,IONIQ Electric,9.7,165.0,250.0,153.0,210 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Liftback,C,5,34459,2,35495.46765554182
Volkswagen ,ID.3 Pro S,7.9,160.0,440.0,175.0,590 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,40936,2,42167.28471363823
Porsche ,Taycan Turbo S,2.8,260.0,375.0,223.0,780 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,180781,2,186218.58261227852
Volkswagen ,e-Up! ,11.9,130.0,195.0,166.0,170 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,21421,2,22065.306963329214
MG ,ZS EV,8.2,140.0,220.0,193.0,260 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,30000,1,30902.348578491965
Mini ,Cooper SE ,7.3,150.0,185.0,156.0,260 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,31681,1,32633.910177173464
Opel ,Corsa-e ,8.1,150.0,275.0,164.0,420 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29146,1,30022.661722290894
Tesla ,Model Y Long Range Dual Motor,5.1,217.0,425.0,171.0,930 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,7,58620,3,60383.1891223733
Skoda ,Enyaq iV 50,10.0,160.0,290.0,179.0,230 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,35000,2,36052.740008240624
Audi ,e-tron GT ,3.5,240.0,425.0,197.0,850 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,125000,4,128759.78574371652
Tesla ,Model 3 Long Range Performance,3.4,261.0,435.0,167.0,910 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,61480,3,63329.213020189534
Volkswagen ,ID.4 ,7.5,160.0,420.0,183.0,560 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,45000,2,46353.52286773795
Volkswagen ,ID.3 Pro,9.0,160.0,350.0,166.0,490 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,33000,2,33992.58343634116
Volvo ,XC40 P8 AWD Recharge,4.9,180.0,375.0,200.0,470 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,60437,1,62254.84136794396
BMW ,i3 120 Ah,7.3,150.0,235.0,161.0,270 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,38017,1,39160.486196950966
Peugeot ,e-2008 SUV ,8.5,150.0,250.0,180.0,380 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,34361,1,35394.519983518745
Audi ,e-tron 50 quattro,6.8,190.0,280.0,231.0,450 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,67358,1,69384.01318500206
Kia ,e-Niro 64 kWh,7.8,167.0,370.0,173.0,350 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,38105,1,39251.13308611455
Renault ,Zoe ZE50 R110,11.4,135.0,315.0,165.0,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,31184,2,32121.961269056446
Tesla ,Cybertruck Tri Motor,3.0,210.0,750.0,267.0,710 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Pickup,N,6,75000,3,77255.87144622991
Mazda ,MX-30 ,9.0,150.0,180.0,178.0,240 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,32646,2,33627.935723114955
Nissan ,Leaf e+,7.3,157.0,325.0,172.0,390 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,37237,1,38357.025133910174
Lexus ,UX 300e,7.5,160.0,270.0,193.0,190 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,SUV,C,5,50000,1,51503.91429748661
CUPRA ,el-Born ,6.5,160.0,425.0,181.0,570 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,45000,2,46353.52286773795
Renault ,Zoe ZE50 R135,9.5,140.0,310.0,168.0,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,33133,2,34129.58384837247
Mercedes ,EQA ,5.0,200.0,350.0,171.0,440 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,45000,2,46353.52286773795
Tesla ,Model S Long Range,3.8,250.0,515.0,184.0,560 km/h,Rapid charging possible,All Wheel Drive,Type 2,Liftback,F,5,79990,4,82395.96209311907
Hyundai ,Kona Electric 39 kWh,9.9,155.0,255.0,154.0,210 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,33971,2,34992.78945199835
Audi ,e-tron Sportback 55 quattro,5.7,200.0,380.0,228.0,610 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,81639,2,84094.56118665019
Skoda ,CITIGOe iV ,12.3,130.0,195.0,166.0,170 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,24534,2,25271.94066749073
SEAT ,Mii Electric ,12.3,130.0,195.0,166.0,170 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,20129,2,20734.44581788216
Kia ,e-Soul 64 kWh,7.9,167.0,365.0,175.0,340 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36837,1,37944.99381953028
Opel ,Ampera-e ,7.3,150.0,335.0,173.0,210 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,MPV,B,5,41906,1,43166.460651009475
Porsche ,Taycan 4S,4.0,250.0,365.0,195.0,730 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,102945,3,106041.40914709518
Lightyear ,One ,10.0,150.0,575.0,104.0,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,F,5,149000,4,153481.66460651008
